25	,	0.001	,	200
24	,	1	,	127
34	,	0.001	,	138
21	,	0.001	,	145
27	,	1	,	112
43	,	3	,	116
30.001	,	14	,	90.001
14	,	28	,	33
8	,	39	,	22
5	,	44	,	15
5	,	45	,	5
4	,	43	,	15
5	,	39	,	16
4	,	41	,	32
3	,	38	,	24
5	,	25	,	26
5	,	19	,	21
7	,	1	,	50.001
9	,	0.001	,	83
13	,	1	,	147
30.001	,	1	,	171
7	,	2	,	76
5	,	1	,	68
4	,	2	,	60.001
6	,	3	,	10.0011
7	,	3	,	97
8	,	6	,	85
9	,	7	,	63
10.001	,	21	,	50.001
6	,	32	,	44
4	,	52	,	31
3	,	66	,	31
5	,	72	,	35
34	,	43	,	66
43	,	32	,	33
53	,	21	,	45
33	,	13	,	31
12	,	8	,	55
13	,	4	,	70.001
29	,	11	,	72
21	,	22	,	67
18	,	19	,	72
4	,	0.001	,	41
6	,	0.001	,	86
8	,	0.001	,	23
9	,	1	,	43
25	,	5	,	81
58	,	53	,	118
20.001	,	49	,	34
7	,	59	,	31
3	,	64	,	29
3	,	59	,	23
2	,	52	,	15
2	,	46	,	31
2	,	47	,	36
2	,	41	,	13
2	,	32	,	32
3	,	22	,	27
3	,	9	,	24
2	,	2	,	31
8	,	1	,	29
5	,	0.001	,	45
2	,	1	,	99
2	,	2	,	45
1	,	3	,	35
2	,	7	,	39
2	,	17	,	31
4	,	37	,	47
5	,	34	,	10.0013
5	,	46	,	117
3	,	51	,	41
4	,	48	,	31
3	,	47	,	40.001
3	,	32	,	46
2	,	21	,	37
2	,	8	,	42
1	,	3	,	50.001
1	,	1	,	65
1	,	1	,	70.001
1	,	1	,	65
0.001	,	2	,	58
12	,	3	,	98
22	,	2	,	71
9	,	14	,	38
21	,	29	,	29
9	,	22	,	35
5	,	40	,	24
3	,	53	,	28
11	,	65	,	33
40.001	,	81	,	19
51	,	88	,	30.001
48	,	100	,	26
44	,	108	,	39
29	,	109	,	26
15	,	93	,	28
3	,	60	,	21
4	,	34	,	34
4	,	16	,	53
4	,	24	,	48
4	,	18	,	41
5	,	17	,	48
7	,	19	,	53
2	,	0.001	,	26
1	,	0.001	,	14
3	,	0.001	,	12
4	,	0.001	,	13
4	,	0.001	,	35
4	,	5	,	26
3	,	15	,	33
4	,	28	,	31
5	,	45	,	21
4	,	63	,	18
12	,	76	,	35
19	,	79	,	31
10.001	,	91	,	20.001
4	,	59	,	21
5	,	9	,	28
5	,	4	,	27
3	,	16	,	30.001
3	,	19	,	22
4	,	1	,	20.001
7	,	0.001	,	22
10.001	,	1	,	30.001
4	,	3	,	36
4	,	0.001	,	43
8	,	0.001	,	46
3	,	0.001	,	38
4	,	2	,	44
15	,	3	,	43
8	,	11	,	41
11	,	21	,	42
15	,	31	,	57
11	,	51	,	41
6	,	85	,	35
9	,	128	,	32
23	,	62	,	73
30.001	,	57	,	10.0013
28	,	29	,	89
23	,	7	,	79
14	,	1	,	74
13	,	0.001	,	74
13	,	0.001	,	64
10.001	,	0.001	,	61
6	,	2	,	61
1	,	15	,	58
1	,	9	,	33
2	,	6	,	39
2	,	4	,	42
1	,	12	,	23
2	,	21	,	17
13	,	18	,	50.001
41	,	20	,	85
47	,	28	,	163
33	,	32	,	166
15	,	51	,	86
24	,	62	,	10.0015
12	,	47	,	117
5	,	52	,	64
3	,	31	,	68
2	,	13	,	58
2	,	6	,	35
1	,	10	,	32
